im,i am
nwt,new with tags
gahoy,get a hold of yourself
inpo,in no particular order
ciao,goodbye (in italian)
fawc,for anyone who cares
mfrc,my fingers are crossed
mws,my wife says
nwr,not work related
4nr,foreigner
stbx,soon to be ex
tfds,that's for darn sure
ttyl,talk to you later
swak,sealed (or sent) with a kiss
iitm,it's in the mail
ttyt,talk to you tomorrow
onud,oh no you didn't
tahitmots,there's a hole in the middle of the sea
crdtchck,credit check
rufkm,are you fucking kidding me?
mhyf,move how you feel
hdgfs,how does get fucked sound?
fouo,for official use only
gmily,good morning i love you
figs,"french, italian, german, spanish"
siup,suck it up pussy
gyhooya,get your head out of your ass
yeppies,young experimenting perfection seekers
vbmg,very big mischievous grin
cmf,count my fingers
cmb,call me back
l/m,left message
fogc,fear of getting caught
situbi,say it til you believe it
cmu,crack me up
wuwhima,wish you were here in my arms
teotwawki,the end of the world as we know it
snafu,"situation normal, all fucked up"
yacc,yet another calendar company
10q,thank you
esadyfa,eat shit and die you fucking asshole
sobt,stressed out big time
ayce,all you can eat
g2glys,got to go love ya so
h&k,hugs and kisses
nev,neighborhood electric vehicle
rlf,real life friend
bbamfic,big bad ass mother fucker in charge
cula,see you later alligator
tntl,trying not to laugh
bhimbgo,"bloody hell, i must be getting old"
dord,department of redundancy department
imnsho,in my not so humble opinion
dgtg,don't go there girlfriend
noyb,none of your business
roflmao,rolling on floor laughing my ass off
htnoth,hit the nail on the head
gla,good luck all
glb,good looking boy
glg,good looking girl
wdr,with due respect
wdt,who does that?
nstlc,need some tender loving care
drb,dirty rat bastard
shwaslomf,sitting here with a straight look on my face
brt,be right there
lmkhtwofy,let me know how that works out for you
nltbro,not likely to be run over
ff&pn,fresh fields and pastures new
brl,belly roll laughs
jgmb,just google me bitch
kmba,kiss my black ass
txt,text
txs,thanks
brb,be right back
dnd,do not disturb
dnf,did not find
dnc,does not compute
lwr,launch when ready
nycfs,new york city finger salute
apac,asia-pacific
bdsm,"bondage, dominance, sadism, masochism"
dnr,do not resuscitate
ttys,talk to you soon
gylabtw,get your lazy ass back to work
awgthtgtta,are we going to have to go through this again
ltio,laughing til i orgasm
musm,miss you so much
musl,missing you shit loads
ltic,laughing 'til i cry
99,parent is no longer watching
lore,"learn once, repeat everywhere"
jmo,just my opinion
lm46,let's meet for sex
onid,oh no i didn't
md,doctor of medicine
rb@,yaright back at ya
mf,my friend
ma,mature audience
mb,message board
mm,market maker
mo,move on
tnx,thanks
mu,miss you
gr2br,good riddance to bad rubbish
tna,temporarily not available
tnc,tongue in cheek
henry,"high earner, not rich yet"
tno,tell no one
ta,thanks again
lycylbb,"love you, see you later, bye bye"
gagfi,gives a gay first impression
ygm,you've got mail
gtsy,glad to see you
emae-,mail address
str8,straight
ttfn,ta ta for now
iiio,"intel inside, idiot outside"
ruok,are you ok?
b4yki,before you know it
hawtlw,hello and welcome to last week
adip,another day in paradise
lumu,love you miss you
lhso,let's have sex online
pimpl,peeing in my pants laughing
gmta,great minds think alike
adih,another day in hell
laq,lame ass quote
vfm,value for money
sfttm,stop fucking talking to me
ryfm,read your friendly manual
whydtm,what have you done to me?
ttyiaf,talk/type to you in a few
afayc,as far as you're concerned
imfao,in my fucking arrogant opinion
fifo,"first in, first out"
nmhjc,"not much here, just chilling"
hbic,head bitch in charge
hbib,hot but inappropriate boy
nsfw,not safe for work
wuf,where you from
rkba,right to keep and bear arms
pcmcia,people can't memorize computer industry acronyms
clm,career limiting move
ime,in my experience
s4b,shit for brains
s4l,spam for life
imo,in my opinion
wtgp,want to go private?
lmso,laughing my socks off
icyc,in case you're curious
yy4u,too wise for you
uok,are you ok?
fofl,falling on floor laughing
fil,father-in-law
twita,that's what i'm talking about
yttt,you telling the truth?
rbtl,read between the lines
yttm,you talk too much
ssewba,"someday soon, everything will be acronyms"
srlb,spoiled rotten little brat
bytme,better you than me
l,?^let's hook up
crbt,crying real big tears
wtmc,what the mother c***
suyf,shut up you fool
nqocd,not quite our class dear
pwas,prayer wheels are spinning
hsiab,haven't seen it all before
e2ho,each to his/her own
mdr,mort de rire
logo,language of graphics oriented
lggbdtttiqqaapp,"lesbian, gay, genderqueer, bisexual, demisexual, transgender, transsexual, twospirit, intersex, queer, questioning, asexual, allies, pansexual, polyamorous"
osif,oh shit i forgot
rt,real time
gol,giggling out loud
wtfgda,"way to fucking go, dumb ass"
goi,get over it
gok,god only knows
cul8r,see you later
rx,regards
gob,game on bitcheeez
re,regards
rc,remote control
rl,real life
rm,remake
rn,yit means rainy
smd,suck my dick
i&i,intercourse & inebriation
gos,gay or straight
nitl,not in this lifetime
wmhgb,where many have gone before
bmgwl,busting my gut with laughter
fcfs,"first come, first served"
inbd,it's no big deal
emsge-,mail message
ntw,not to worry
tcob,taking care of business
ntk,nice to know
ntm,not that much
nta,not this again
ottomh,off the top of my head
pmsl,pissed myself laughing
atc,any two cards
angb,almost nearly good bridge
sahm,stay at home mom
iswc,if stupid were a crime
atm,at the moment
d&m,deep & meaningful
mtmmfbwy,may the micky mouse force be with you
ish,insert sarcasm here
iso,in search of
iynaegbtm,if you need anything else get back to me
imnerho,in my never even remotely humble opinion
bioiya,break it off in your ass
shmily,see how much i love you
bdbi5m,busy daydreaming back in 5 minutes
fupa,fat upper pussy area
toy,thinking of you
nttawwt,not that there's anything wrong with that
tot,tons of time
tom,tomorrow
wyfm,would you fuck me?
craws,can't remember anything worth a shit
tarfu,things are really fucked up
ntim,not that it matters
tgal,"think globally, act locally"
tomtb,taking off my training bra
oirwis,oh i remember what i said
ycmu,you crack me up
nofi,no offence intended
mbrfn,must be real fucking nice
rumcymhmd,are you on medication cause you must have missed a dose
raf,random as fuck
lbs,laughing but serious
tmtowtdi,there's more than one way to do it
lulu,locally undesireable land use
t&c,terms & conditions
lbh,let's be honest
msnuw,mini-skirt no underwear
vgn,vegan
